name,rating,ratedby,price
MSI Gaming GeForce RTX 3050 8GB GDRR6 Boost Clock: 1807 MHz 128-Bit HDMI/DP PCIe 4 Torx Twin Fans Ampere OC Graphics Card (RTX 3050 Ventus 2X XS 8G OC),4.5/5,166.0,195.0
"maxsun AMD Radeon RX 550 4GB GDDR5 ITX Computer PC Gaming Video Graphics Card GPU 128-Bit DirectX 12 PCI Express X16 3.0 DVI-D Dual Link, HDMI, DisplayPort",4.2/5,1255.0,82.0
"GIGABYTE GeForce RTX 4060 Eagle OC 8G Graphics Card, 3X WINDFORCE Fans, 8GB 128-bit GDDR6, GV-N4060EAGLE OC-8GD Video Card",4.7/5,334.0,304.0
Merrell Men's Moab 2 Mid Gtx Hiking Boot,4.5/5,6766.0,90.0
"ASUS Phoenix NVIDIA GeForce GTX 1650 OC Edition Gaming Graphics Card (PCIe 3.0, 4GB GDDR6 Memory, HDMI, DisplayPort, DVI-D, Axial-tech Fan Design)",4.7/5,428.0,179.0
Brooks Men’s Cascadia 18 GTX Waterproof Mountain Trail Running Shoe,,,139.0
Brooks Men’s Cascadia 17 GTX Waterproof Trail Running Shoe,4.4/5,122.0,119.0
"GeForce GTX 1660 Ti Graphics Card, 6GB GDDR6 192bit Video Card for Gaming GPU PCIe 3.0 x16 DP HDMI DVI 1080P 2K Game PC Card 1660ti 4K 8K Display (GTX 1660 Ti - Red)",4.1/5,34.0,189.0
New Balance Men's Fresh Foam X Hierro Mid GTX V1 Trail Running Shoe,4.2/5,362.0,
"Gaming GeForce GTX 1050 Ti Graphics Card, 4GB 128-Bit GDDR5 DP HDMI DVI-Output GPU, PCI Express 3.0 Video Card for Office and PC Gaming",4.1/5,167.0,139.0
"Geforce GTX 750 Ti Graphics Card, 4GB GDDR5 128-bit, DVI-D, HDMI, VGA, Low Profile, Video Card PC, GPU, PCI Express x16",,,89.0
ASICS Men's Gel-Sonoma 7 Running Shoes,4.5/5,293.0,69.0
GIGABYTE 2GB RAM DDR3 SDRAM Video Graphics Cards GV-N710D3-2GL REV2.0,4.5/5,1292.0,
Brooks Women's Ghost 15 GTX Waterproof Neutral Running Shoe,4.4/5,248.0,104.0
"EVGA GeForce GTX 1070 Ti SC GAMING ACX 3.0 Black Edition, 8GB GDDR5, EVGA OCX Scanner OC, White LED, DX12OSD Support (PXOC) Graphics Card 08G-P4-5671-KR (Renewed)",4.6/5,41.0,189.0
Zotac NVIDIA GeForce GTX 1070 AMP Edition 8GB GDDR5 DVI/HDMI PCI-Express Video Card (ZT-P10700C-10P),3.9/5,34.0,
New Balance mens Dynasoft Nitrel V5 Gtx,3.9/5,90.0,
"GIGABYTE GeForce RTX 4060 Gaming OC 8G Graphics Card, 3X WINDFORCE Fans, 8GB 128-bit GDDR6, GV-N4060GAMING OC-8GD Video Card",4.7/5,293.0,309.0
MSI Gaming GeForce GTX 1070 8GB GDDR5 SLI DirectX 12 VR Ready Graphics Card (GTX 1070 GAMING X 8G),4.6/5,1020.0,
La Sportiva Mens Ultra Raptor II Mid GTX Hiking Shoe,4.4/5,148.0,111.0
"LEXIN GTX Motorcycle Bluetooth Headset, 10 Riders Helmet Communication System, Group Intercom w/Audio Multitasking/Loud Speakers/IP67 Waterproof/Hands-Free Call/USB-C Charge/5 Shells, Single Pack",4.2/5,6882.0,99.0
Merrell Moab 3 GTX® Earth 11 M,4.8/5,7.0,101.0
adidas Men's Terrex Ax4 Gore-tex Hiking Sneaker,4.2/5,1164.0,100.0
MSI Gaming GeForce RTX 4060 8GB GDRR6 Extreme Clock: 2505 MHz 128-Bit HDMI/DP Nvlink TORX Fan 4.0 Ada Lovelace Architecture Graphics Card (RTX 4060 Ventus 2X Black 8G OC),4.8/5,558.0,292.0
Nvidia GTX TITAN X 12GB GDDR5 PCI-e x16 3 x DisplayPort | DVI | HDMI Graphics Video Card,4.5/5,5.0,
Merrell Moab 3 GTX® Granite 10.5 M,4.5/5,8.0,88.0
Gigabyte Geforce GTX 1050 Ti 4GB GV-N105TD5-4GD Graphic Cards,4.6/5,7194.0,229.0
Brooks Men's Ghost 15 GTX Waterproof Neutral Running Shoe,4.5/5,309.0,
Brooks Men's Ghost 16 GTX Waterproof Neutral Running Shoe,,,169.0
"GTX 750 Ti 4GB GDDR5 Graphics Card, Faster Than RX 550, GT1030, 4X Than GT 730, 7X Than GT 710 128-Bit PCI Express 3.0x16 DirectX 12 CUDA 640 NO Power Cable Needed HDMI/DVI/VGA",,,89.0
ASUS GeForce GTX 1660 Super Overclocked 6GB Phoenix Fan Edition HDMI DP DVI Graphics Card (PH-GTX1660S-O6G),4.5/5,502.0,188.0
EVGA GeForce GTX 760 Super Clocked ACX 2GB GDDR5 SLI Ready Graphics Card,4.4/5,1214.0,
"GTX1050Ti 4GB Gaming Graphics Card, DDR5 128 Bit Desktop Graphics Card, Graphics Card with Dual Fan, Higher Cooling Performance and Lower Noise (GTX1050Ti 4GB DDR5 128bit)",1.6/5,6.0,56.0
ASUS GeForce GTX 1050 Ti 4GB Phoenix Fan Edition DVI-D HDMI DP 1.4 Gaming Graphics Card (PH-GTX1050TI-4G),4.6/5,3452.0,264.0
ALTRA Men's TIMP 5 Hiker GTX Hiking Shoe,4.1/5,5.0,184.0
"ASUS ProArt GeForce RTX™ 4060 Ti 16GB OC Edition GDDR6 Graphics Card (PCIe 4.0, 16GB GDDR6, DLSS 3, HDMI 2.1a, DisplayPort 1.4a)",4.7/5,816.0,529.0
Brooks Women’s Divide 4 GTX Waterproof Trail Running Shoe,4.4/5,62.0,99.0
ALTRA Women's AL0A7R76 Olympus 5 Low GTX Trail Running Shoe,3.7/5,67.0,109.0
