name,price,link,location,time,seller,payment_on_delivery
iPhone 13 PRO 128Gb 87%,129500.0,https://ouedkniss.com/smartphones-iphone-13-pro-128gb-87-cheraga-alger-algerie-d43338152,"Cheraga, 16",il y a environ 2 heures,Doudou Phone,
iPhone 14 pro 128GB 90%,142000.0,https://ouedkniss.com/smartphones-iphone-14-pro-128gb-90-cheraga-alger-algerie-d43337875,"Cheraga, 16",il y a environ 2 heures,Doudou Phone,
Apple Iphone x 256gb,37500.0,https://ouedkniss.com/smartphones-apple-iphone-x-256gb-cheraga-alger-algerie-d43231053,"Cheraga, 16",il y a environ 2 heures,Doudou Phone,
IPHONE XR 64Gb 80%,45000.0,https://ouedkniss.com/smartphones-iphone-xr-64gb-80-cheraga-alger-algerie-d43189143,"Cheraga, 16",il y a environ 2 heures,Doudou Phone,
iPhone 12 mini 64Gb 84%,57000.0,https://ouedkniss.com/smartphones-iphone-12-mini-64gb-84-cheraga-alger-algerie-d43151703,"Cheraga, 16",il y a environ 2 heures,Doudou Phone,
iPhone 14 pro 128Gb 90%,163500.0,https://ouedkniss.com/smartphones-iphone-14-pro-128gb-90-cheraga-alger-algerie-d42925201,"Cheraga, 16",il y a environ 2 heures,Doudou Phone,
iPhone 12 mini 64GB 80%,58000.0,https://ouedkniss.com/smartphones-iphone-12-mini-64gb-80-cheraga-alger-algerie-d42687304,"Cheraga, 16",il y a environ 2 heures,Doudou Phone,
Apple iPhone 15,172000.0,https://ouedkniss.com/smartphones-apple-iphone-15-oran-algerie-d43051944,"Oran, 31",il y a environ 2 heures,Jacob apple,True
Apple iPhone 14,15700.0,https://ouedkniss.com/smartphones-apple-iphone-14-oran-algerie-d39603271,"Oran, 31",il y a environ 2 heures,Jacob apple,True
Apple iPhone 15 plus,205000.0,https://ouedkniss.com/smartphones-apple-iphone-15-plus-oran-algerie-d39123951,"Oran, 31",il y a environ 2 heures,Jacob apple,
Apple iPhone 13,1.0,https://ouedkniss.com/smartphones-apple-iphone-13-oran-algerie-d38694546,"Oran, 31",il y a environ 2 heures,Jacob apple,True
