,name,status,price,location,sold,link
10,"Samsung Galaxy Folder2 SM-G1600 Dual Sim 16GB Android LTE 3.8"" Flip Phone",Open Box,89.0,China,,https://www.ebay.com/itm/126596069881?_nkw=phones&itmmeta=01J62TP566JV2RJ4NNR461XXWB&hash=item1d79b6b9f9:g:KkwAAOSwrQNmpJQN&itmprp=enc%3AAQAJAAAAwHoV3kP08IDx%2BKZ9MfhVJKmq9l%2FR8BWClO4vYVZw73UXepifI%2FcpFyQFeR8pAbrJm%2BCdn4YziXKZPvI%2Fj67nyxWg83AaT06x9uYi4SDtQQe1xqQK1MSPIc%2FdhrEQccAFV4ManReJZt4yHASDpPy937UXLRY2uDoIW%2FyxqErqSHqErpiUIAA%2FMP0u9u26CuqfKeDl3PB1CgeSsxu722RXPT1m%2B%2Fl%2FwKP9aTvFGYdtHrfURok3NMlu3Bw87iM2%2FOscMg%3D%3D%7Ctkp%3ABk9SR5jT2NqwZA
11,"Samsung Galaxy Golden i9235  Flip 16GB+1.5GB Unlocked 3G GSM 2G  3.7"" Smartphone",Pre-Owned,153.45,China,37.0,https://www.ebay.com/itm/275364260627?_nkw=phones&itmmeta=01J62TP566G0DZD414VM4ZCPPK&hash=item401cfd2b13:g:Yu8AAOSw0zdiuIyz&itmprp=enc%3AAQAJAAAAwHoV3kP08IDx%2BKZ9MfhVJKnBSx1%2FCU0tnGx%2BG2EYOB%2BemHZSmQ7OJptsXLB5YzekW0h9AhSeGUEweLAWZe%2FOzIJPDa3cgB4aQngBbAUfOQNDwL%2F1ZL4Ye7EMf8QASa4hGugaLQKKLWOABuUsaSmGG7Inh50H6oIPefKL%2FI4Q7qof9cfcz4uROHKgbJXsB2ToEoSObwoCpZpSfaQqU7sCe1MEAl%2BEQ2q2U16CjzbfMZNvBn551smXKuuOT68GRke7Bg%3D%3D%7Ctkp%3ABk9SR5jT2NqwZA
12,Google Pixel 6 | 6a | 6 Pro - 128GB 256GB 512GB - Unlocked Verizon T-Mobile AT&T,Very Good - Refurbished,139.95,United States,,https://www.ebay.com/itm/276523158982?_nkw=phones&epid=22055368726&itmmeta=01J62TP566GW6BQWJW6ZPF9VAE&hash=item4062108dc6:g:~rUAAOSwkf5mebZY&itmprp=enc%3AAQAJAAAAwHoV3kP08IDx%2BKZ9MfhVJKlssF%2FfYHhUbhUVEPAmTfuvJNkUmvHT7avTkHZWhPoFEDymwAJSrreAKKPrkVxpKzOWWSM2kB7zdJXxG%2F8kOAZhLaLxjP8K2OR8YuMzjq4MWLFMzEvNfOsSwtgtyQ9br1waH3JZQJ4vvv2cjjtk7k%2BcvMs%2BHZpa2Fn2A78i33Z%2F3GOyR0%2Bybm9Iu30yLOTA5utmOQqfO%2FgcNp%2BBHsduInRtPB7%2BS2fFVgb0LfLSeGm%2BLg%3D%3D%7Ctkp%3ABk9SR5jT2NqwZA
13,Working well Grade A Apple iPhone 4s 16GB/32GB/64GB Black/White Fully UNLOCKED,Pre-Owned,31.98,China,,https://www.ebay.com/itm/404971794561?_nkw=phones&itmmeta=01J62TP566C0P30SCVVQ7KGA3N&hash=item5e4a333081:g:4BEAAOSwL-Zl-Tqp&itmprp=enc%3AAQAJAAAA4HoV3kP08IDx%2BKZ9MfhVJKlyoQE3z%2BoCEQxVkl1rBDJFEJfWkkkbFCElro9p5JghvaKnJPF91ZJhyP0TBVIyGEJgWs7aJFUJPK6Dsnx1mUadCmsyC6yMeJDMUHl17hdKFCIc7O0oA3FdpjkqQ1A3ifapSNL%2FKK1ijIvZ3ikXnBRBKSAy5%2BeAn3DENuh3nKnUBc2KpcNZhTfMSDWBaCkM0gOSNdORuNx8jAroofbw185EBBAap%2B%2FAdGKGWku7imnc3zyvIa4%2BNUS2kjF8paBg%2BGXWY9YJHyKDSEQjCt5aF0Xg%7Ctkp%3ABFBMmtPY2rBk
14,"Redmi 12C-128GB, Graphite Gray (Without Simlock) (Dual SIM)",New (Other),95.02,Germany,,https://www.ebay.com/itm/375610091550?_nkw=phones&itmmeta=01J62TP566WN4QKZ9W98521095&hash=item57741b281e:g:44kAAOSwZL1mtBdM&itmprp=enc%3AAQAJAAAA4HoV3kP08IDx%2BKZ9MfhVJKlboIJ8IpGwp%2F5ZRAHxtCZe4oDhNyLV7N42QMt6QKSB%2F%2BtzfJg4k61PSVUZ4lQO%2B6ke7BWvv57IEietPA%2BFdkE7w953u%2BKEoFde1YsFRTKc4Sv5BIrANoEviajPkc4%2BSVLbSGU5oCZa7LvpQdGfldhu5mKIrU%2FOBmlG5wczdnCa3L%2F2C5tb47a00A7yLC%2B%2FKhruCCb69jv0Cs1yzbexTZgRoKIxsJ1q%2Fmbx7%2BcpD%2BnpdW%2FQFo9pwAAvmEWPvbmXnBEnZ2cL%2B72h4E45pKiIsBIJ%7Ctkp%3ABFBMmtPY2rBk
15,Samsung Galaxy S22+ 128GB S906U Unlocked - Good,Good - Refurbished,231.99,United States,157.0,https://www.ebay.com/itm/255803826545?_nkw=phones&epid=2323331917&itmmeta=01J62TP566QTZFZPM96JXJ7NKS&hash=item3b8f18a171:g:yS8AAOSwfldkAk-D&itmprp=enc%3AAQAJAAAA4HoV3kP08IDx%2BKZ9MfhVJKlMUsagM5ElrbSp6p1DYByjwc6UIA99EhJF8L%2Ft4jGQF5GyeXrl9oCSjGcmfSQaViGPIYREPB%2Bo1ipyqEGG2s76X1bv0cy6%2FJhSUVZlmw9%2BXrklgwGlvVHscaQGMbYCRri4NEOWswywqOBI7KoPA68ymHiSG7tzhB5K9Z%2FEBHDRxvia8BBcKeqYhW%2Fsa%2FQo2VunnGrCvuRNUZ%2BIl8AKFwqQY9Eo7Z3WnFu4QRnp4iw5ILh%2FAf7InYZ3kuK9DwN%2BqWugdPZmzV%2FCKq0RH2e9triU%7Ctkp%3ABFBMmtPY2rBk
16,Working Apple iPhone 6/6 plus/6s/6s plus 16/32/64/128GB Fully UNLOCKED 4 colours,Pre-Owned,39.98,China,,https://www.ebay.com/itm/126492722811?_nkw=phones&epid=241094286&itmmeta=01J62TP566EGPC3SAF7A40B5W0&hash=item1d738dc67b:g:OV4AAOSw5KpmTHRu&itmprp=enc%3AAQAJAAAAwHoV3kP08IDx%2BKZ9MfhVJKn5Sbyxo2y57Cfd%2Ba0F7SgqalKJaEdkcTdr8XEhf1mLxbGPyQTJZfSvA0aRe0XrY%2BnsW2UY5lbe0NeLGTJAtYImaSbCbIzujOPTNANF4gOuGDvvHkyLZKXir6X1FfNDap6G%2FRYw79ujS8n2nhGHWYIOLDaTZlHpUMeKEsm1ouGb909CdcCVcJx75z4BxKDhnuRM%2BvFtESwoHAyVjCgroWmq2o%2BZug7qm2tssf3TAQFSsQ%3D%3D%7Ctkp%3ABk9SR5rT2NqwZA
17,New Fashion 5G Smartphone 16GB+1TB 7.3'' Android Dual SIM Unlocked Phone,Brand New,119.99,China,,https://www.ebay.com/itm/405152308254?_nkw=phones&itmmeta=01J62TP5666XTRAAVWW2QCBCJ6&hash=item5e54f59c1e:g:3~sAAOSwxFhl4Far&itmprp=enc%3AAQAJAAAAwHoV3kP08IDx%2BKZ9MfhVJKkzBmBYhLquG%2FsuOUQfvI9xRdmXKlM16a122fDOiJUF3%2Fw0z6NNVcBmtHXHEivtUZ9nz3THQgk7ata7VHSsZQ%2FHrjIpUj5aq1yGdiM4qsBxSOPpqV%2F7EzE4AjQTtSk0WEetV2tzL%2Bo45apVqUDJayUtM5xRiAor1Q9lDUmP2%2F6k6lGleAHmron1llfYdopwC2nZLAwsRamxv%2B20%2Boz7y9xZsOOigT5E7TGkMZZm4hNYtg%3D%3D%7Ctkp%3ABk9SR5rT2NqwZA
18,Samsung Galaxy A53 5G SM-A536U Spectrum Only 128GB Black Good,Good - Refurbished,74.99,United States,25.0,https://www.ebay.com/itm/186589033033?_nkw=phones&itmmeta=01J62TP566K71GY9650T2EE54E&hash=item2b7192b249:g:CAgAAOSw5gVmoTTu&itmprp=enc%3AAQAJAAAA4HoV3kP08IDx%2BKZ9MfhVJKlTLAQUF5wqcn9I6rYttsj%2BAYLpIPA%2F04MQu431jbIFRcntr8vkjhaB1y%2BhrtqE0%2BPvnWFkQwnB%2F5AhahfibT0xXZnjsJwDCtFvYyEO67bB%2F%2BgEqKzg%2FcerEgElu9ElEWJkY6Mse3mgxHSPskQYkkb1BiKrv8E7usXWYgB6omo8L1XUky0p8HhM0uPPAUzEh3bB9a0iBoZfFajoaH9qpWwUiizlFxVpHOMeeIOZonNSrayQiOJf2iehsIrXI36M1q3ov6edk63Ogss7BDevORdO%7Ctkp%3ABk9SR5rT2NqwZA
19,Apple iPhone 11 - 64 GB - Red (Unlocked),Pre-Owned,150.0,United States,,https://www.ebay.com/itm/126638419702?_nkw=phones&epid=15065003756&itmmeta=01J62TP566271QCBZ6NS237T0C&hash=item1d7c3ceef6:g:Ba8AAOSwZ2pmgy2e&itmprp=enc%3AAQAJAAAA4HoV3kP08IDx%2BKZ9MfhVJKkhaw7bTcYAU47m68L6OHJ0LGn%2BPxosUCVdt7Au9Ab5Smou35Gdn0G3wH3BZScQrtxeUBRacO55orM4Q0aIjf4UmFcm5sM4xLlWVIRviYPAdTt42c39BuDdhcquji1NqJUGs%2BczCOYB9pfbsFbEvyX14%2B5N2etiqRbEj4W45l9raD3LftHPzztoIhw82e%2Fhq0amv%2FzRecIMNeNJkbPXu5zW45taGRmfdFiwYCWBBKqynoNRoGcZYpA6p2yDq6UQMvhPEQPnd5n2FOi11c5SwdLx%7Ctkp%3ABk9SR5rT2NqwZA
